county,year,total_crashes,impaired_crashes,fatalities,injuries
MONTGOMERY,2018,167,9,0,64
MONTGOMERY,2019,145,3,0,39
MONTGOMERY,2020,112,12,3,37
MONTGOMERY,2021,116,6,0,32
MONTGOMERY,2022,121,10,4,31
MONTGOMERY,2023,112,8,2,37
MONTGOMERY,2024,117,7,1,38
MONTGOMERY,2025,49,0,0,10
MUSCATINE,2014,461,37,1,220
MUSCATINE,2015,526,33,1,255
MUSCATINE,2016,510,34,5,217
MUSCATINE,2017,586,58,4,258
MUSCATINE,2018,548,31,4,206
MUSCATINE,2019,557,38,4,198
MUSCATINE,2020,496,36,4,177
MUSCATINE,2021,548,45,7,250
MUSCATINE,2022,575,35,6,210
MUSCATINE,2023,567,32,4,204
MUSCATINE,2024,533,41,9,200
MUSCATINE,2025,250,6,0,99
OBRIEN,2014,139,2,0,68
OBRIEN,2015,141,5,4,59
OBRIEN,2016,176,10,1,84
OBRIEN,2017,174,6,0,72
OBRIEN,2018,151,8,2,67
OBRIEN,2019,177,10,3,81
OBRIEN,2020,136,6,3,67
OBRIEN,2021,139,8,0,57
OBRIEN,2022,142,10,5,73
OBRIEN,2023,144,5,0,63
OBRIEN,2024,132,6,2,69
OBRIEN,2025,55,5,0,21
OSCEOLA,2014,86,4,3,38
OSCEOLA,2015,73,1,2,29
OSCEOLA,2016,110,7,1,41
OSCEOLA,2017,90,7,4,30
OSCEOLA,2018,88,3,0,38
OSCEOLA,2019,99,5,2,40
OSCEOLA,2020,85,11,1,41
OSCEOLA,2021,76,6,1,31
OSCEOLA,2022,61,3,2,24
OSCEOLA,2023,85,3,2,39
OSCEOLA,2024,82,5,0,29
OSCEOLA,2025,22,1,0,15
PAGE,2014,162,11,2,59
PAGE,2015,180,7,1,60
PAGE,2016,142,5,1,53
PAGE,2017,141,6,0,47
PAGE,2018,149,7,2,45
PAGE,2019,142,8,2,43
PAGE,2020,125,9,3,46
PAGE,2021,153,10,0,52
PAGE,2022,128,7,0,38
PAGE,2023,122,6,4,39
PAGE,2024,117,7,1,39
PAGE,2025,48,2,2,20
PALO ALTO,2014,135,1,3,47
PALO ALTO,2015,150,7,0,54
PALO ALTO,2016,142,10,0,52
PALO ALTO,2017,163,10,5,51
PALO ALTO,2018,136,7,2,56
PALO ALTO,2019,153,6,1,56
PALO ALTO,2020,113,6,2,42
PALO ALTO,2021,151,7,0,40
PALO ALTO,2022,145,6,1,45
PALO ALTO,2023,147,4,1,45
PALO ALTO,2024,147,11,1,48
PALO ALTO,2025,51,4,0,15
PLYMOUTH,2014,308,14,1,141
PLYMOUTH,2015,365,17,4,156
PLYMOUTH,2016,422,20,3,180
PLYMOUTH,2017,372,12,4,186
PLYMOUTH,2018,478,18,3,181
PLYMOUTH,2019,518,27,2,157
PLYMOUTH,2020,402,27,9,149
PLYMOUTH,2021,404,21,4,130
PLYMOUTH,2022,422,30,3,114
PLYMOUTH,2023,408,20,5,124
PLYMOUTH,2024,379,22,6,118
PLYMOUTH,2025,166,14,4,62
POCAHONTAS,2014,47,4,1,23
POCAHONTAS,2015,41,3,0,17
POCAHONTAS,2016,43,5,0,28
POCAHONTAS,2017,68,1,1,46
POCAHONTAS,2018,83,2,6,26
POCAHONTAS,2019,69,6,1,39
POCAHONTAS,2020,85,9,2,43
POCAHONTAS,2021,88,8,0,31
POCAHONTAS,2022,69,5,1,34
POCAHONTAS,2023,78,8,0,30
POCAHONTAS,2024,54,4,0,25
POCAHONTAS,2025,25,0,0,8
POLK,2014,9135,456,18,3210
POLK,2015,9961,438,20,4138
POLK,2016,10675,484,28,4269
POLK,2017,10648,476,26,4551
POLK,2018,10645,448,27,4154
POLK,2019,11346,450,35,4541
POLK,2020,8785,439,38,3650
POLK,2021,10175,487,44,4390
POLK,2022,10776,465,33,4487
POLK,2023,10382,477,39,4419
POLK,2024,10646,460,47,4411
POLK,2025,4479,169,8,1699
POTTAWATTAMIE,2014,1972,104,16,771
POTTAWATTAMIE,2015,2087,123,13,915
POTTAWATTAMIE,2016,2048,117,12,829
POTTAWATTAMIE,2017,2163,116,12,844
POTTAWATTAMIE,2018,2164,111,10,869
POTTAWATTAMIE,2019,2229,101,13,847
POTTAWATTAMIE,2020,1894,124,12,810
POTTAWATTAMIE,2021,2138,119,10,831
POTTAWATTAMIE,2022,2069,135,10,869
POTTAWATTAMIE,2023,1980,123,13,771
POTTAWATTAMIE,2024,1881,129,9,741
POTTAWATTAMIE,2025,785,56,3,332
POWESHIEK,2014,326,9,5,113
POWESHIEK,2015,338,8,3,90
POWESHIEK,2016,321,24,2,102
POWESHIEK,2017,318,9,7,85
POWESHIEK,2018,348,10,3,115
POWESHIEK,2019,324,19,3,108
POWESHIEK,2020,274,9,0,80
POWESHIEK,2021,322,5,2,96
POWESHIEK,2022,312,8,2,115
POWESHIEK,2023,278,13,5,104
POWESHIEK,2024,318,11,4,92
POWESHIEK,2025,124,6,0,42
RINGGOLD,2014,41,2,0,30
RINGGOLD,2015,39,3,0,23
RINGGOLD,2016,32,4,6,19
RINGGOLD,2017,37,4,2,20
RINGGOLD,2018,48,4,1,22
RINGGOLD,2019,52,0,0,12
RINGGOLD,2020,59,1,0,20
RINGGOLD,2021,44,2,1,19
RINGGOLD,2022,53,4,1,34
RINGGOLD,2023,56,5,2,22
RINGGOLD,2024,56,5,1,20
RINGGOLD,2025,12,0,1,2
SAC,2014,140,7,3,41
SAC,2015,125,6,1,51
SAC,2016,154,8,4,81
SAC,2017,181,8,3,71
SAC,2018,156,2,2,45
SAC,2019,131,6,1,41
SAC,2020,159,11,1,50
SAC,2021,147,7,1,46
SAC,2022,188,9,2,69
SAC,2023,172,5,1,67
SAC,2024,149,11,3,51
SAC,2025,50,1,0,15
SCOTT,2014,3680,203,13,1272
SCOTT,2015,4018,208,21,1564
SCOTT,2016,4081,182,19,1767
SCOTT,2017,4090,203,8,1780
SCOTT,2018,3940,170,13,1605
SCOTT,2019,4070,165,9,1518
SCOTT,2020,3423,210,21,1282
SCOTT,2021,3909,191,16,1382
SCOTT,2022,3228,193,17,1397
SCOTT,2023,3202,184,16,1288
SCOTT,2024,3098,201,23,1253
SCOTT,2025,1297,69,6,528
SHELBY,2014,120,5,1,59
SHELBY,2015,126,8,3,63
SHELBY,2016,117,10,2,50
SHELBY,2017,119,10,3,55
SHELBY,2018,120,8,0,45
SHELBY,2019,113,7,5,55
SHELBY,2020,77,7,1,30
SHELBY,2021,83,5,0,31
SHELBY,2022,85,5,2,29
SHELBY,2023,98,7,1,36
SHELBY,2024,98,6,2,32
SHELBY,2025,36,2,0,10
SIOUX,2014,472,17,1,220
SIOUX,2015,459,23,3,210
SIOUX,2016,470,19,3,215
SIOUX,2017,443,11,3,230
SIOUX,2018,482,21,2,207
SIOUX,2019,489,17,2,232
SIOUX,2020,443,23,3,165
SIOUX,2021,490,24,3,210
SIOUX,2022,481,20,8,215
SIOUX,2023,506,30,6,188
SIOUX,2024,499,22,3,242
SIOUX,2025,172,12,1,82
STORY,2014,1554,53,5,501
STORY,2015,1687,50,5,467
STORY,2016,1608,48,4,453
STORY,2017,1570,56,5,508
STORY,2018,1582,45,2,467
STORY,2019,1663,58,9,486
STORY,2020,1209,37,2,338
STORY,2021,1620,61,4,476
STORY,2022,1508,53,7,425
STORY,2023,1541,49,4,395
STORY,2024,1483,34,4,361
STORY,2025,702,18,1,174
TAMA,2014,216,17,3,62
TAMA,2015,274,15,4,109
TAMA,2016,297,18,2,77
TAMA,2017,303,17,6,88
TAMA,2018,294,20,3,73
TAMA,2019,282,18,1,98
TAMA,2020,278,15,1,86
TAMA,2021,311,16,3,86
TAMA,2022,314,21,2,110
TAMA,2023,312,16,0,66
TAMA,2024,262,18,2,70
TAMA,2025,96,3,1,22
TAYLOR,2014,39,3,0,18
TAYLOR,2015,33,1,0,7
TAYLOR,2016,60,5,2,31
TAYLOR,2017,40,2,2,19
TAYLOR,2018,54,3,0,27
TAYLOR,2019,71,3,1,21
TAYLOR,2020,59,5,1,34
TAYLOR,2021,68,4,1,18
TAYLOR,2022,60,2,0,18
TAYLOR,2023,63,5,1,15
TAYLOR,2024,49,3,0,21
TAYLOR,2025,18,0,0,4
UNION,2014,178,7,0,67
UNION,2015,154,2,1,51
UNION,2016,157,8,2,75
UNION,2017,149,4,1,68
UNION,2018,157,11,1,65
UNION,2019,149,7,1,50
UNION,2020,129,9,3,55
UNION,2021,158,11,0,61
UNION,2022,138,6,0,42
UNION,2023,141,5,6,58
UNION,2024,144,10,1,41
UNION,2025,58,3,1,17
VAN BUREN,2014,58,3,0,26
VAN BUREN,2015,82,11,0,39
VAN BUREN,2016,80,7,2,34
VAN BUREN,2017,82,7,1,41
VAN BUREN,2018,71,6,0,33
VAN BUREN,2019,89,7,4,36
VAN BUREN,2020,58,6,0,26
VAN BUREN,2021,58,10,0,34
VAN BUREN,2022,62,4,2,32
VAN BUREN,2023,76,4,0,38
VAN BUREN,2024,71,2,2,33
VAN BUREN,2025,23,1,0,16
WAPELLO,2014,561,34,2,221
WAPELLO,2015,541,37,2,227
WAPELLO,2016,523,24,6,235
WAPELLO,2017,531,44,4,206
WAPELLO,2018,549,36,4,229
WAPELLO,2019,566,36,5,208
WAPELLO,2020,520,46,4,215
WAPELLO,2021,562,48,5,235
WAPELLO,2022,516,38,3,182
WAPELLO,2023,526,47,4,217
WAPELLO,2024,555,49,4,191
WAPELLO,2025,224,10,1,102
WARREN,2014,723,28,7,261
WARREN,2015,707,33,11,237
WARREN,2016,696,27,8,254
WARREN,2017,720,27,5,244
WARREN,2018,742,23,5,219
WARREN,2019,730,29,1,239
WARREN,2020,649,30,8,199
WARREN,2021,699,43,3,247
WARREN,2022,701,20,6,217
WARREN,2023,735,24,4,254
WARREN,2024,700,33,4,207
WARREN,2025,322,12,1,82
WASHINGTON,2014,243,23,4,117
WASHINGTON,2015,273,14,3,91
WASHINGTON,2016,227,16,3,136
WASHINGTON,2017,261,13,3,108
WASHINGTON,2018,245,10,1,104
WASHINGTON,2019,217,10,4,75
WASHINGTON,2020,199,13,2,90
WASHINGTON,2021,224,13,2,100
WASHINGTON,2022,226,17,3,81
WASHINGTON,2023,226,9,2,87
WASHINGTON,2024,256,25,8,113
WASHINGTON,2025,101,11,1,37
WAYNE,2014,54,7,0,32
WAYNE,2015,46,3,1,25
WAYNE,2016,49,1,0,28
WAYNE,2017,55,4,4,24
WAYNE,2018,64,3,0,30
WAYNE,2019,74,3,1,32
WAYNE,2020,62,5,0,34
WAYNE,2021,57,4,2,25
WAYNE,2022,56,4,1,34
WAYNE,2023,61,4,0,22
WAYNE,2024,65,4,3,22
WAYNE,2025,17,0,0,6
WEBSTER,2014,842,38,2,241
WEBSTER,2015,788,39,7,258
WEBSTER,2016,910,54,6,272
WEBSTER,2017,910,41,5,329
WEBSTER,2018,822,36,9,248
WEBSTER,2019,880,23,10,241
WEBSTER,2020,755,41,3,212
WEBSTER,2021,892,37,5,213
WEBSTER,2022,815,26,2,246
WEBSTER,2023,768,40,8,234
WEBSTER,2024,698,32,4,182
WEBSTER,2025,296,13,2,88
WINNEBAGO,2014,50,8,1,21
WINNEBAGO,2015,61,10,0,29
WINNEBAGO,2016,62,6,0,27
WINNEBAGO,2017,56,4,2,23
WINNEBAGO,2018,44,1,1,29
WINNEBAGO,2019,57,4,0,39
WINNEBAGO,2020,42,2,0,20
WINNEBAGO,2021,42,3,2,27
WINNEBAGO,2022,51,4,2,19
WINNEBAGO,2023,56,3,0,19
WINNEBAGO,2024,55,7,3,25
WINNEBAGO,2025,20,4,0,3
WINNESHIEK,2014,340,15,3,90
WINNESHIEK,2015,379,12,2,115
WINNESHIEK,2016,371,15,4,99
WINNESHIEK,2017,359,16,2,86
WINNESHIEK,2018,397,14,2,89
WINNESHIEK,2019,375,19,5,105
WINNESHIEK,2020,317,12,2,83
WINNESHIEK,2021,358,26,4,106
WINNESHIEK,2022,380,28,2,121
WINNESHIEK,2023,343,25,5,103
WINNESHIEK,2024,350,20,2,102
WINNESHIEK,2025,124,4,2,49
WOODBURY,2014,2162,128,14,785
WOODBURY,2015,2358,133,13,913
WOODBURY,2016,2354,138,10,1092
WOODBURY,2017,2337,137,8,959
WOODBURY,2018,2381,132,5,936
WOODBURY,2019,2473,127,12,967
WOODBURY,2020,2170,142,10,860
WOODBURY,2021,2255,134,8,930
WOODBURY,2022,2258,149,5,966
WOODBURY,2023,2311,129,9,951
WOODBURY,2024,2402,120,11,904
WOODBURY,2025,1010,68,7,370
WORTH,2014,105,5,1,33
WORTH,2015,97,3,2,33
WORTH,2016,82,4,3,35
WORTH,2017,100,4,0,40
WORTH,2018,90,4,2,27
WORTH,2019,94,2,2,32
WORTH,2020,88,3,0,18
WORTH,2021,109,1,3,19
WORTH,2022,109,7,2,27
WORTH,2023,96,4,0,43
WORTH,2024,98,10,4,35
WORTH,2025,34,3,1,14
WRIGHT,2014,214,8,4,72
WRIGHT,2015,159,10,1,53
WRIGHT,2016,211,12,0,54
WRIGHT,2017,163,6,1,46
WRIGHT,2018,173,7,1,52
WRIGHT,2019,221,12,1,68
WRIGHT,2020,162,12,2,58
WRIGHT,2021,146,8,1,41
WRIGHT,2022,140,6,3,48
WRIGHT,2023,183,14,3,60
WRIGHT,2024,180,6,1,46
WRIGHT,2025,67,4,0,21
