county,year,unemployment_rate,laborforce_sum,unemployment_sum
BLACK HAWK,2003,4.567,854200,39000
BLACK HAWK,2004,4.550,850600,38700
BLACK HAWK,2005,4.383,859900,37600
BLACK HAWK,2006,3.842,868700,33300
BLACK HAWK,2007,3.750,876700,33000
BLACK HAWK,2008,4.042,890100,35900
BLACK HAWK,2009,6.183,899700,55400
BLACK HAWK,2010,6.250,850900,53200
BLACK HAWK,2011,5.908,855200,50500
BLACK HAWK,2012,5.417,858800,46500
BLACK HAWK,2013,5.100,863300,44200
BLACK HAWK,2014,4.933,867800,42800
BLACK HAWK,2015,4.542,847700,38500
BLACK HAWK,2016,4.500,856100,38600
BLACK HAWK,2017,3.617,842900,30600
BLACK HAWK,2018,2.750,851100,23400
BLACK HAWK,2019,3.000,864600,26200
BLACK HAWK,2020,5.867,826900,48600
BLACK HAWK,2021,4.058,824600,33500
BLACK HAWK,2022,2.917,827200,24300
BLACK HAWK,2023,3.092,824100,25200
BLACK HAWK,2024,3.650,818400,30000
BLACK HAWK,2025,4.264,758500,32200
BOONE,2000,2.158,175500,3800
BOONE,2001,2.783,179100,5100
BOONE,2002,3.208,181500,5800
BOONE,2003,3.508,180900,6300
BOONE,2004,3.508,180500,6400
BOONE,2005,3.508,184800,6500
BOONE,2006,2.908,187000,5400
BOONE,2007,3.283,186900,6200
BOONE,2008,3.533,189200,6700
BOONE,2009,6.000,189800,11300
BOONE,2010,5.775,177700,10200
BOONE,2011,4.983,176700,8800
BOONE,2012,4.308,175600,7600
BOONE,2013,4.067,179100,7200
BOONE,2014,3.417,182700,6400
BOONE,2015,3.008,184100,5500
BOONE,2016,2.892,177900,5400
BOONE,2017,2.483,177300,4400
BOONE,2018,2.208,178700,3900
BOONE,2019,2.375,179300,4200
BOONE,2020,4.150,170500,7000
BOONE,2021,3.300,171900,5600
BOONE,2022,2.383,176300,4300
BOONE,2023,2.492,177700,4400
BOONE,2024,2.608,178600,4700
BOONE,2025,3.091,167000,5100
BREMER,2000,2.458,154000,3900
BREMER,2001,3.117,156600,4800
BREMER,2002,3.375,161300,5300
BREMER,2003,3.858,162000,6300
BREMER,2004,3.792,162400,6300
BREMER,2005,3.708,165100,6100
BREMER,2006,3.200,167800,5400
BREMER,2007,3.117,166900,5300
BREMER,2008,3.500,168100,5700
BREMER,2009,5.483,166700,9200
BREMER,2010,4.958,166200,8200
BREMER,2011,4.408,166900,7400
BREMER,2012,3.825,167200,6400
BREMER,2013,3.783,168500,6500
BREMER,2014,3.692,170400,6200
BREMER,2015,3.508,168200,5700
BREMER,2016,3.742,160100,6100
BREMER,2017,2.908,158000,4700
BREMER,2018,2.150,160300,3600
BREMER,2019,2.325,163500,3800
BREMER,2020,4.042,155700,6200
BREMER,2021,3.075,158100,4800
BREMER,2022,2.467,160600,3900
BREMER,2023,2.567,160300,4300
BREMER,2024,2.842,159400,4600
BREMER,2025,3.318,147800,5100
BUCHANAN,2000,2.833,128310,3640
BUCHANAN,2001,3.925,129930,5100
BUCHANAN,2002,4.542,130200,5900
