county,year,population
WOODBURY,2012,102321
WOODBURY,2013,102284
WOODBURY,2014,102292
WOODBURY,2015,102492
WOODBURY,2016,102686
WOODBURY,2017,102132
WOODBURY,2018,102515
WOODBURY,2019,103107
WOODBURY,2020,105941
WOODBURY,2021,105801
WOODBURY,2022,105674
WOODBURY,2023,106544
WOODBURY,2024,107257
WORTH,1990,7991
WORTH,1991,7980
WORTH,1992,7908
WORTH,1993,7930
WORTH,1994,8031
WORTH,1995,7924
WORTH,1996,7952
WORTH,1997,8001
WORTH,1998,7929
WORTH,1999,7926
WORTH,2000,7909
WORTH,2001,7801
WORTH,2002,7794
WORTH,2003,7719
WORTH,2004,7708
WORTH,2005,7715
WORTH,2006,7618
WORTH,2007,7623
WORTH,2008,7605
WORTH,2009,7541
WORTH,2010,7598
WORTH,2011,7561
WORTH,2012,7496
WORTH,2013,7489
WORTH,2014,7557
WORTH,2015,7503
WORTH,2016,7471
WORTH,2017,7455
WORTH,2018,7413
WORTH,2019,7381
WORTH,2020,7443
WORTH,2021,7374
WORTH,2022,7316
WORTH,2023,7322
WORTH,2024,7307
WRIGHT,1990,14269
WRIGHT,1991,14272
WRIGHT,1992,14224
WRIGHT,1993,14388
WRIGHT,1994,14348
WRIGHT,1995,14470
WRIGHT,1996,14674
WRIGHT,1997,14662
WRIGHT,1998,14560
WRIGHT,1999,14506
WRIGHT,2000,14334
WRIGHT,2001,14055
WRIGHT,2002,13819
WRIGHT,2003,13624
WRIGHT,2004,13537
WRIGHT,2005,13377
WRIGHT,2006,13187
WRIGHT,2007,13039
WRIGHT,2008,12878
WRIGHT,2009,12716
WRIGHT,2010,13229
WRIGHT,2011,13034
WRIGHT,2012,13020
WRIGHT,2013,12982
WRIGHT,2014,12906
WRIGHT,2015,12841
WRIGHT,2016,12839
WRIGHT,2017,12765
WRIGHT,2018,12690
WRIGHT,2019,12562
WRIGHT,2020,12943
WRIGHT,2021,12821
WRIGHT,2022,12740
WRIGHT,2023,12744
WRIGHT,2024,12729
